,field,phenomenon,paradigm,score,metric,model,seed,step
8818,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.323,acc,pythia-160m-seed1,1,128
8820,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.714,acc,pythia-160m-seed1,1,128
8822,syntax,Argument structure,blimp_transitive,0.593,acc,pythia-160m-seed1,1,128
8824,syntax,Filler gap,blimp_wh_island,0.547,acc,pythia-160m-seed1,1,128
8826,syntax,Filler gap,blimp_wh_questions_object_gap,0.616,acc,pythia-160m-seed1,1,128
8828,syntax,Filler gap,blimp_wh_questions_subject_gap,0.979,acc,pythia-160m-seed1,1,128
8830,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.992,acc,pythia-160m-seed1,1,128
8832,syntax,Filler gap,blimp_wh_vs_that_no_gap,0.999,acc,pythia-160m-seed1,1,128
8834,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,1.0,acc,pythia-160m-seed1,1,128
8836,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.002,acc,pythia-160m-seed1,1,128
8838,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.001,acc,pythia-160m-seed1,1,128
8842,syntax,Island effects,blimp_adjunct_island,0.855,acc,pythia-160m-seed1,1,70000
8844,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.983,acc,pythia-160m-seed1,1,70000
8846,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.99,acc,pythia-160m-seed1,1,70000
8848,syntax,Argument structure,blimp_animate_subject_passive,0.772,acc,pythia-160m-seed1,1,70000
8850,syntax,Argument structure,blimp_animate_subject_trans,0.872,acc,pythia-160m-seed1,1,70000
8852,syntax,Argument structure,blimp_causative,0.79,acc,pythia-160m-seed1,1,70000
8854,syntax,Island effects,blimp_complex_NP_island,0.51,acc,pythia-160m-seed1,1,70000
8856,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.654,acc,pythia-160m-seed1,1,70000
8858,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.789,acc,pythia-160m-seed1,1,70000
8860,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.98,acc,pythia-160m-seed1,1,70000
8862,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.977,acc,pythia-160m-seed1,1,70000
8864,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.916,acc,pythia-160m-seed1,1,70000
8866,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.965,acc,pythia-160m-seed1,1,70000
8868,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.933,acc,pythia-160m-seed1,1,70000
8870,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.899,acc,pythia-160m-seed1,1,70000
8872,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.908,acc,pythia-160m-seed1,1,70000
8874,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.948,acc,pythia-160m-seed1,1,70000
8876,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.843,acc,pythia-160m-seed1,1,70000
8878,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.73,acc,pythia-160m-seed1,1,70000
8880,syntax,Argument structure,blimp_drop_argument,0.788,acc,pythia-160m-seed1,1,70000
8882,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.826,acc,pythia-160m-seed1,1,70000
8884,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.835,acc,pythia-160m-seed1,1,70000
8886,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.845,acc,pythia-160m-seed1,1,70000
8888,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.973,acc,pythia-160m-seed1,1,70000
8890,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.169,acc,pythia-160m-seed1,1,70000
8892,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.888,acc,pythia-160m-seed1,1,70000
8894,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.699,acc,pythia-160m-seed1,1,70000
8896,syntax,Argument structure,blimp_inchoative,0.636,acc,pythia-160m-seed1,1,70000
8898,syntax,Argument structure,blimp_intransitive,0.798,acc,pythia-160m-seed1,1,70000
8900,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.976,acc,pythia-160m-seed1,1,70000
8902,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.905,acc,pythia-160m-seed1,1,70000
8904,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.92,acc,pythia-160m-seed1,1,70000
8906,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.929,acc,pythia-160m-seed1,1,70000
8908,syntax,Island effects,blimp_left_branch_island_echo_question,0.439,acc,pythia-160m-seed1,1,70000
8910,syntax,Island effects,blimp_left_branch_island_simple_question,0.718,acc,pythia-160m-seed1,1,70000
8912,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.508,acc,pythia-160m-seed1,1,70000
8914,semantics,NPI licensing,blimp_npi_present_1,0.719,acc,pythia-160m-seed1,1,70000
8916,semantics,NPI licensing,blimp_npi_present_2,0.678,acc,pythia-160m-seed1,1,70000
8918,semantics,NPI licensing,blimp_only_npi_licensor_present,0.894,acc,pythia-160m-seed1,1,70000
8920,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.901,acc,pythia-160m-seed1,1,70000
8922,syntax,Argument structure,blimp_passive_1,0.9,acc,pythia-160m-seed1,1,70000
8924,syntax,Argument structure,blimp_passive_2,0.902,acc,pythia-160m-seed1,1,70000
8926,syntaxsemantics,Binding,blimp_principle_A_c_command,0.628,acc,pythia-160m-seed1,1,70000
8928,syntaxsemantics,Binding,blimp_principle_A_case_1,1.0,acc,pythia-160m-seed1,1,70000
8930,syntaxsemantics,Binding,blimp_principle_A_case_2,0.953,acc,pythia-160m-seed1,1,70000
8932,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.986,acc,pythia-160m-seed1,1,70000
8934,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.852,acc,pythia-160m-seed1,1,70000
8936,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.721,acc,pythia-160m-seed1,1,70000
8938,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.369,acc,pythia-160m-seed1,1,70000
8940,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.957,acc,pythia-160m-seed1,1,70000
8942,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.91,acc,pythia-160m-seed1,1,70000
8944,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.994,acc,pythia-160m-seed1,1,70000
8946,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.805,acc,pythia-160m-seed1,1,70000
8948,syntax,Island effects,blimp_sentential_subject_island,0.301,acc,pythia-160m-seed1,1,70000
8950,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.776,acc,pythia-160m-seed1,1,70000
8952,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.608,acc,pythia-160m-seed1,1,70000
8954,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.613,acc,pythia-160m-seed1,1,70000
8956,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.89,acc,pythia-160m-seed1,1,70000
8958,syntax,Argument structure,blimp_transitive,0.882,acc,pythia-160m-seed1,1,70000
8960,syntax,Filler gap,blimp_wh_island,0.895,acc,pythia-160m-seed1,1,70000
8962,syntax,Filler gap,blimp_wh_questions_object_gap,0.804,acc,pythia-160m-seed1,1,70000
8964,syntax,Filler gap,blimp_wh_questions_subject_gap,0.955,acc,pythia-160m-seed1,1,70000
8966,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.889,acc,pythia-160m-seed1,1,70000
8968,syntax,Filler gap,blimp_wh_vs_that_no_gap,0.97,acc,pythia-160m-seed1,1,70000
8970,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,0.951,acc,pythia-160m-seed1,1,70000
8972,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.598,acc,pythia-160m-seed1,1,70000
8974,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.334,acc,pythia-160m-seed1,1,70000
8978,syntax,Island effects,blimp_adjunct_island,0.84,acc,pythia-160m-seed1,1,143000
8980,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.994,acc,pythia-160m-seed1,1,143000
8982,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.993,acc,pythia-160m-seed1,1,143000
8984,syntax,Argument structure,blimp_animate_subject_passive,0.8,acc,pythia-160m-seed1,1,143000
8986,syntax,Argument structure,blimp_animate_subject_trans,0.843,acc,pythia-160m-seed1,1,143000
8988,syntax,Argument structure,blimp_causative,0.737,acc,pythia-160m-seed1,1,143000
8990,syntax,Island effects,blimp_complex_NP_island,0.496,acc,pythia-160m-seed1,1,143000
8992,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.714,acc,pythia-160m-seed1,1,143000
8994,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.81,acc,pythia-160m-seed1,1,143000
8996,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.982,acc,pythia-160m-seed1,1,143000
8998,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.974,acc,pythia-160m-seed1,1,143000
9000,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.925,acc,pythia-160m-seed1,1,143000
9002,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.949,acc,pythia-160m-seed1,1,143000
9004,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.94,acc,pythia-160m-seed1,1,143000
9006,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.915,acc,pythia-160m-seed1,1,143000
9008,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.906,acc,pythia-160m-seed1,1,143000
9010,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.949,acc,pythia-160m-seed1,1,143000
9012,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.834,acc,pythia-160m-seed1,1,143000
9014,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.665,acc,pythia-160m-seed1,1,143000
9016,syntax,Argument structure,blimp_drop_argument,0.781,acc,pythia-160m-seed1,1,143000
9018,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.835,acc,pythia-160m-seed1,1,143000
9020,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.856,acc,pythia-160m-seed1,1,143000
9022,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.824,acc,pythia-160m-seed1,1,143000
9024,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.978,acc,pythia-160m-seed1,1,143000
9026,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.254,acc,pythia-160m-seed1,1,143000
9028,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.891,acc,pythia-160m-seed1,1,143000
9030,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.743,acc,pythia-160m-seed1,1,143000
9032,syntax,Argument structure,blimp_inchoative,0.634,acc,pythia-160m-seed1,1,143000
9034,syntax,Argument structure,blimp_intransitive,0.786,acc,pythia-160m-seed1,1,143000
9036,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.953,acc,pythia-160m-seed1,1,143000
9038,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.89,acc,pythia-160m-seed1,1,143000
9040,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.911,acc,pythia-160m-seed1,1,143000
9042,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.92,acc,pythia-160m-seed1,1,143000
9044,syntax,Island effects,blimp_left_branch_island_echo_question,0.265,acc,pythia-160m-seed1,1,143000
9046,syntax,Island effects,blimp_left_branch_island_simple_question,0.77,acc,pythia-160m-seed1,1,143000
9048,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.655,acc,pythia-160m-seed1,1,143000
9050,semantics,NPI licensing,blimp_npi_present_1,0.649,acc,pythia-160m-seed1,1,143000
9052,semantics,NPI licensing,blimp_npi_present_2,0.612,acc,pythia-160m-seed1,1,143000
9054,semantics,NPI licensing,blimp_only_npi_licensor_present,0.936,acc,pythia-160m-seed1,1,143000
9056,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.796,acc,pythia-160m-seed1,1,143000
9058,syntax,Argument structure,blimp_passive_1,0.918,acc,pythia-160m-seed1,1,143000
9060,syntax,Argument structure,blimp_passive_2,0.894,acc,pythia-160m-seed1,1,143000
9062,syntaxsemantics,Binding,blimp_principle_A_c_command,0.707,acc,pythia-160m-seed1,1,143000
9064,syntaxsemantics,Binding,blimp_principle_A_case_1,1.0,acc,pythia-160m-seed1,1,143000
9066,syntaxsemantics,Binding,blimp_principle_A_case_2,0.903,acc,pythia-160m-seed1,1,143000
9068,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.99,acc,pythia-160m-seed1,1,143000
9070,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.828,acc,pythia-160m-seed1,1,143000
9072,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.692,acc,pythia-160m-seed1,1,143000
9074,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.527,acc,pythia-160m-seed1,1,143000
9076,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.939,acc,pythia-160m-seed1,1,143000
9078,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.895,acc,pythia-160m-seed1,1,143000
9080,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.995,acc,pythia-160m-seed1,1,143000
9082,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.768,acc,pythia-160m-seed1,1,143000
9084,syntax,Island effects,blimp_sentential_subject_island,0.287,acc,pythia-160m-seed1,1,143000
9086,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.893,acc,pythia-160m-seed1,1,143000
9088,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.748,acc,pythia-160m-seed1,1,143000
9090,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.628,acc,pythia-160m-seed1,1,143000
9092,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.883,acc,pythia-160m-seed1,1,143000
9094,syntax,Argument structure,blimp_transitive,0.837,acc,pythia-160m-seed1,1,143000
9096,syntax,Filler gap,blimp_wh_island,0.78,acc,pythia-160m-seed1,1,143000
9098,syntax,Filler gap,blimp_wh_questions_object_gap,0.867,acc,pythia-160m-seed1,1,143000
9100,syntax,Filler gap,blimp_wh_questions_subject_gap,0.966,acc,pythia-160m-seed1,1,143000
9102,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.917,acc,pythia-160m-seed1,1,143000
9104,syntax,Filler gap,blimp_wh_vs_that_no_gap,0.974,acc,pythia-160m-seed1,1,143000
9106,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,0.976,acc,pythia-160m-seed1,1,143000
9108,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.511,acc,pythia-160m-seed1,1,143000
9110,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.269,acc,pythia-160m-seed1,1,143000
9114,syntax,Island effects,blimp_adjunct_island,0.835,acc,pythia-160m-seed1,1,50000
9116,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.987,acc,pythia-160m-seed1,1,50000
9118,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.991,acc,pythia-160m-seed1,1,50000
9120,syntax,Argument structure,blimp_animate_subject_passive,0.764,acc,pythia-160m-seed1,1,50000
9122,syntax,Argument structure,blimp_animate_subject_trans,0.866,acc,pythia-160m-seed1,1,50000
9124,syntax,Argument structure,blimp_causative,0.746,acc,pythia-160m-seed1,1,50000
9126,syntax,Island effects,blimp_complex_NP_island,0.538,acc,pythia-160m-seed1,1,50000
9128,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.722,acc,pythia-160m-seed1,1,50000
9130,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.805,acc,pythia-160m-seed1,1,50000
9132,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.988,acc,pythia-160m-seed1,1,50000
9134,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.979,acc,pythia-160m-seed1,1,50000
9136,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.955,acc,pythia-160m-seed1,1,50000
9138,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.96,acc,pythia-160m-seed1,1,50000
9140,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.945,acc,pythia-160m-seed1,1,50000
9142,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.922,acc,pythia-160m-seed1,1,50000
9144,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.924,acc,pythia-160m-seed1,1,50000
9146,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.962,acc,pythia-160m-seed1,1,50000
9148,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.869,acc,pythia-160m-seed1,1,50000
9150,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.782,acc,pythia-160m-seed1,1,50000
9152,syntax,Argument structure,blimp_drop_argument,0.78,acc,pythia-160m-seed1,1,50000
9154,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.821,acc,pythia-160m-seed1,1,50000
9156,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.9,acc,pythia-160m-seed1,1,50000
9158,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.85,acc,pythia-160m-seed1,1,50000
9160,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.978,acc,pythia-160m-seed1,1,50000
9162,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.129,acc,pythia-160m-seed1,1,50000
9164,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.874,acc,pythia-160m-seed1,1,50000
9166,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.7,acc,pythia-160m-seed1,1,50000
9168,syntax,Argument structure,blimp_inchoative,0.622,acc,pythia-160m-seed1,1,50000
9170,syntax,Argument structure,blimp_intransitive,0.789,acc,pythia-160m-seed1,1,50000
9172,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.956,acc,pythia-160m-seed1,1,50000
9174,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.907,acc,pythia-160m-seed1,1,50000
9176,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.917,acc,pythia-160m-seed1,1,50000
9178,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.92,acc,pythia-160m-seed1,1,50000
9180,syntax,Island effects,blimp_left_branch_island_echo_question,0.455,acc,pythia-160m-seed1,1,50000
9182,syntax,Island effects,blimp_left_branch_island_simple_question,0.749,acc,pythia-160m-seed1,1,50000
9184,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.66,acc,pythia-160m-seed1,1,50000
9186,semantics,NPI licensing,blimp_npi_present_1,0.748,acc,pythia-160m-seed1,1,50000
9188,semantics,NPI licensing,blimp_npi_present_2,0.697,acc,pythia-160m-seed1,1,50000
9190,semantics,NPI licensing,blimp_only_npi_licensor_present,0.918,acc,pythia-160m-seed1,1,50000
9192,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.825,acc,pythia-160m-seed1,1,50000
9194,syntax,Argument structure,blimp_passive_1,0.907,acc,pythia-160m-seed1,1,50000
9196,syntax,Argument structure,blimp_passive_2,0.908,acc,pythia-160m-seed1,1,50000
9198,syntaxsemantics,Binding,blimp_principle_A_c_command,0.579,acc,pythia-160m-seed1,1,50000
9200,syntaxsemantics,Binding,blimp_principle_A_case_1,1.0,acc,pythia-160m-seed1,1,50000
9202,syntaxsemantics,Binding,blimp_principle_A_case_2,0.94,acc,pythia-160m-seed1,1,50000
9204,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.986,acc,pythia-160m-seed1,1,50000
9206,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.796,acc,pythia-160m-seed1,1,50000
9208,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.698,acc,pythia-160m-seed1,1,50000
9210,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.165,acc,pythia-160m-seed1,1,50000
9212,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.951,acc,pythia-160m-seed1,1,50000
9214,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.897,acc,pythia-160m-seed1,1,50000
9216,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.994,acc,pythia-160m-seed1,1,50000
9218,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.775,acc,pythia-160m-seed1,1,50000
9220,syntax,Island effects,blimp_sentential_subject_island,0.285,acc,pythia-160m-seed1,1,50000
9222,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.771,acc,pythia-160m-seed1,1,50000
9224,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.673,acc,pythia-160m-seed1,1,50000
9226,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.606,acc,pythia-160m-seed1,1,50000
9228,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.861,acc,pythia-160m-seed1,1,50000
9230,syntax,Argument structure,blimp_transitive,0.86,acc,pythia-160m-seed1,1,50000
9232,syntax,Filler gap,blimp_wh_island,0.854,acc,pythia-160m-seed1,1,50000
9234,syntax,Filler gap,blimp_wh_questions_object_gap,0.821,acc,pythia-160m-seed1,1,50000
9236,syntax,Filler gap,blimp_wh_questions_subject_gap,0.94,acc,pythia-160m-seed1,1,50000
9238,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.886,acc,pythia-160m-seed1,1,50000
9240,syntax,Filler gap,blimp_wh_vs_that_no_gap,0.974,acc,pythia-160m-seed1,1,50000
9242,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,0.958,acc,pythia-160m-seed1,1,50000
9244,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.572,acc,pythia-160m-seed1,1,50000
9246,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.33,acc,pythia-160m-seed1,1,50000
9250,syntax,Island effects,blimp_adjunct_island,0.524,acc,pythia-160m-seed1,1,64
9252,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.553,acc,pythia-160m-seed1,1,64
9254,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.563,acc,pythia-160m-seed1,1,64
9256,syntax,Argument structure,blimp_animate_subject_passive,0.585,acc,pythia-160m-seed1,1,64
9258,syntax,Argument structure,blimp_animate_subject_trans,0.795,acc,pythia-160m-seed1,1,64
9260,syntax,Argument structure,blimp_causative,0.439,acc,pythia-160m-seed1,1,64
9262,syntax,Island effects,blimp_complex_NP_island,0.504,acc,pythia-160m-seed1,1,64
9264,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.269,acc,pythia-160m-seed1,1,64
9266,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.577,acc,pythia-160m-seed1,1,64
9268,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.519,acc,pythia-160m-seed1,1,64
9270,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.506,acc,pythia-160m-seed1,1,64
9272,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.492,acc,pythia-160m-seed1,1,64
9274,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.509,acc,pythia-160m-seed1,1,64
9276,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.476,acc,pythia-160m-seed1,1,64
9278,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.502,acc,pythia-160m-seed1,1,64
9280,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.52,acc,pythia-160m-seed1,1,64
9282,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.477,acc,pythia-160m-seed1,1,64
9284,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.464,acc,pythia-160m-seed1,1,64
9286,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.514,acc,pythia-160m-seed1,1,64
9288,syntax,Argument structure,blimp_drop_argument,0.701,acc,pythia-160m-seed1,1,64
9290,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.395,acc,pythia-160m-seed1,1,64
9292,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.292,acc,pythia-160m-seed1,1,64
9294,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.691,acc,pythia-160m-seed1,1,64
9296,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.63,acc,pythia-160m-seed1,1,64
9298,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.543,acc,pythia-160m-seed1,1,64
9300,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.522,acc,pythia-160m-seed1,1,64
9302,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.616,acc,pythia-160m-seed1,1,64
9304,syntax,Argument structure,blimp_inchoative,0.472,acc,pythia-160m-seed1,1,64
9306,syntax,Argument structure,blimp_intransitive,0.624,acc,pythia-160m-seed1,1,64
9308,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.511,acc,pythia-160m-seed1,1,64
9310,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.498,acc,pythia-160m-seed1,1,64
9312,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.492,acc,pythia-160m-seed1,1,64
9314,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.516,acc,pythia-160m-seed1,1,64
9316,syntax,Island effects,blimp_left_branch_island_echo_question,0.575,acc,pythia-160m-seed1,1,64
9318,syntax,Island effects,blimp_left_branch_island_simple_question,0.457,acc,pythia-160m-seed1,1,64
9320,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.023,acc,pythia-160m-seed1,1,64
9322,semantics,NPI licensing,blimp_npi_present_1,0.291,acc,pythia-160m-seed1,1,64
9324,semantics,NPI licensing,blimp_npi_present_2,0.311,acc,pythia-160m-seed1,1,64
9326,semantics,NPI licensing,blimp_only_npi_licensor_present,0.393,acc,pythia-160m-seed1,1,64
9328,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.452,acc,pythia-160m-seed1,1,64
9330,syntax,Argument structure,blimp_passive_1,0.631,acc,pythia-160m-seed1,1,64
9332,syntax,Argument structure,blimp_passive_2,0.551,acc,pythia-160m-seed1,1,64
9334,syntaxsemantics,Binding,blimp_principle_A_c_command,0.558,acc,pythia-160m-seed1,1,64
9336,syntaxsemantics,Binding,blimp_principle_A_case_1,0.999,acc,pythia-160m-seed1,1,64
9338,syntaxsemantics,Binding,blimp_principle_A_case_2,0.514,acc,pythia-160m-seed1,1,64
9340,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.627,acc,pythia-160m-seed1,1,64
9342,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.457,acc,pythia-160m-seed1,1,64
